subject_id,condition,task,freq,emg_coh_arearate,emg_coh_med,emg_hp_coh_arearate,emg_hp_coh_med
P13,25g,90,1,2.842332613,0.931562697,2.506479482,0.932284516
P13,25g,90,2,3.312311015,0.931070931,2.83650108,0.925747942
P13,25g,90,3,2.802159827,0.922344362,3.385961123,0.927669098
P13,25g,90,4,2.56587473,0.91284945,2.471490281,0.911480818
P13,25g,90,1,3.155765921,0.93812847,2.415877797,0.928998925
P13,25g,90,2,3.280335628,0.928722214,3.554432014,0.940821038
P13,25g,90,3,3.219018933,0.925621513,3.689113597,0.930472322
P13,25g,90,4,2.61919105,0.916543162,2.676635112,0.916482017
P13,50g,0,1,3.765853659,0.938319964,3.179420732,0.944828553
P13,50g,0,2,3.264329268,0.924207316,3.478963415,0.929509869
P13,50g,0,3,3.471189024,0.92195761,3.460670732,0.927988879
P13,50g,0,4,2.683384146,0.912592813,2.702286585,0.914979357
P13,50g,0,1,3.45266229,0.939871149,4.0865062,0.945648392
P13,50g,0,2,3.705324581,0.934316031,3.457913931,0.928138245
P13,50g,0,3,3.452224654,0.923401989,3.175346462,0.920308166
P13,50g,0,4,2.779285193,0.919435457,2.760466813,0.914760025
P13,50g,12,1,3.675372046,0.937604086,3.232856726,0.939725994
P13,50g,12,2,3.627516779,0.933505172,3.5711993,0.927384827
P13,50g,12,3,3.355266997,0.924439843,3.20032098,0.921236496
P13,50g,12,4,2.849430989,0.916296497,2.748030347,0.912011231
P13,50g,12,1,4.087679856,0.943820643,3.7808753,0.937482582
P13,50g,12,2,3.185701439,0.925664794,3.48411271,0.929572687
P13,50g,12,3,3.37470024,0.923798137,3.426109113,0.922186322
P13,50g,12,4,2.587230216,0.912785765,2.659022782,0.919913519
P13,50g,12,1,3.951705873,0.947639977,3.449135379,0.942307821
P13,50g,12,2,3.409409565,0.930037324,3.220595108,0.925024238
P13,50g,12,3,3.513319832,0.924354334,3.226047671,0.923605825
P13,50g,12,4,2.639351924,0.915496196,2.517058732,0.912864145
P13,50g,180,1,2.753221161,0.928865592,2.769440655,0.938668245
P13,50g,180,2,3.275731393,0.928319763,3.194330756,0.929700262
P13,50g,180,3,3.241473397,0.924586147,3.484007882,0.9267067
P13,50g,180,4,2.585720782,0.912647205,2.549795362,0.908228215
P13,50g,180,1,3.920308103,0.937373349,3.337135239,0.933074538
P13,50g,180,2,3.529995556,0.931728786,3.69293438,0.929034054
P13,50g,180,3,3.178195823,0.917650015,3.761961191,0.92947878
P13,50g,180,4,2.769663754,0.915875835,2.747741075,0.913962303
P13,50g,90,1,4.464233577,0.942225121,4.135474453,0.939078845
P13,50g,90,2,3.934160584,0.931317761,3.56919708,0.926256617
P13,50g,90,3,3.626131387,0.927141027,3.373284672,0.921193417
P13,50g,90,4,2.760291971,0.912314425,2.600145985,0.911102622
P13,50g,90,1,3.993109515,0.943973796,4.003518546,0.941627828
P13,50g,90,2,3.38044275,0.922726907,3.819381322,0.92374614
P13,50g,90,3,3.317841959,0.9236085,3.495088697,0.927003279
P13,50g,90,4,2.679519132,0.917604489,2.798563261,0.914656737
P13,50g,90,1,4.198141965,0.940713715,4.545652489,0.946142054
P13,50g,90,2,3.84671215,0.930904671,3.750616926,0.927490779
P13,50g,90,3,3.556829729,0.922283005,3.546523443,0.926792099
P13,50g,90,4,2.839454202,0.914975625,2.773552039,0.914174013
P13,75g,0,1,4.691296699,0.942793926,3.725240609,0.937923862
P13,75g,0,2,3.912656525,0.934622794,3.567939563,0.926194567
P13,75g,0,3,3.501190107,0.923993082,3.508330746,0.92320788
P13,75g,0,4,2.658491152,0.907596995,2.780813412,0.912759872
P13,75g,0,1,4.060291496,0.939209868,4.022858341,0.930436434
P13,75g,0,2,3.591485792,0.931228995,3.522701059,0.928053608
P13,75g,0,3,3.508755374,0.925027315,3.498584461,0.921724196
P13,75g,0,4,2.845129496,0.912821429,2.779700115,0.911920646
P13,75g,12,1,3.792648073,0.934118987,3.764560954,0.935763896
P13,75g,12,2,3.926579285,0.930285811,3.563417759,0.924283919
P13,75g,12,3,3.444761999,0.92259837,3.613284715,0.92332123
P13,75g,12,4,2.691830098,0.913184086,2.724352025,0.911233356
P13,75g,12,1,4.083091286,0.935690855,3.50653527,0.934601004
P13,75g,12,2,3.797510373,0.9286623,3.62033195,0.929364736
P13,75g,12,3,3.359543568,0.921565198,3.673029046,0.929150179
P13,75g,12,4,2.874273859,0.919225317,2.732780083,0.915491437
P13,75g,12,1,4.375570776,0.938518159,3.213989207,0.933355078
P13,75g,12,2,3.622976339,0.926310574,3.46845164,0.928808724
